x,y
0,0.815614
0.0238088,0.811472
0.0479276,0.807771
0.0723606,0.804519
0.0971116,0.801721
0.122185,0.799382
0.147585,0.797502
0.173316,0.796085
0.199381,0.795129
0.225787,0.794632
0.252536,0.79459
0.279633,0.794997
0.307083,0.795845
0.334891,0.797124
0.363061,0.79882
0.391597,0.800918
0.420505,0.803402
0.44979,0.806249
0.479456,0.809437
0.509508,0.812939
0.539952,0.816726
0.570792,0.820765
0.602034,0.825021
0.633682,0.829455
0.665743,0.834023
0.698221,0.83868
0.731123,0.843377
0.764452,0.848062
0.798216,0.852678
0.832419,0.857168
0.867068,0.861473
0.902167,0.865538
0.937724,0.869314
0.973744,0.872769
1.01023,0.875908
1.0472,0.878781
1.07283,0.880652
1.09868,0.882475
1.12477,0.884281
1.15109,0.886091
1.17764,0.887915
1.20443,0.889755
1.23146,0.891606
1.25873,0.893461
1.28624,0.895306
1.314,0.89713
1.34201,0.898919
1.37026,0.90066
1.39877,0.90234
1.42753,0.903948
1.45655,0.905474
1.48582,0.906906
1.51536,0.908239
1.54516,0.909465
1.57523,0.910581
1.60556,0.911584
1.63616,0.912473
1.66704,0.913253
1.69819,0.913927
1.72962,0.914505
1.76133,0.914996
1.79332,0.915417
1.8256,0.915784
1.85817,0.916118
1.89102,0.916444
1.92417,0.916787
1.95761,0.917171
1.99136,0.917614
2.0254,0.91812
2.05974,0.918667
2.0944,0.919195
2.121,0.919525
2.14779,0.919751
2.17477,0.919838
2.20192,0.919762
2.22926,0.919517
2.25678,0.919105
2.28449,0.918539
2.31239,0.91784
2.34048,0.917032
2.36876,0.916146
2.39723,0.915212
2.4259,0.914266
2.45475,0.913345
2.48381,0.912489
2.51306,0.911738
2.54251,0.911138
2.57216,0.910733
2.60201,0.910572
2.63206,0.910703
2.66232,0.911179
2.69278,0.912052
2.72345,0.913379
2.75432,0.915217
2.78541,0.917624
2.81671,0.920661
2.84822,0.92439
2.87994,0.928875
2.91188,0.934181
2.94403,0.940374
2.9764,0.947522
3.009,0.955693
3.04181,0.964956
3.07485,0.975381
3.10811,0.987039
3.14159,1
