x,y
0,0.815099
0.0299199,0.809951
0.0598399,0.805556
0.0897598,0.801895
0.11968,0.798947
0.1496,0.796687
0.17952,0.795089
0.20944,0.794128
0.239359,0.793773
0.269279,0.793995
0.299199,0.794761
0.329119,0.796038
0.359039,0.797791
0.388959,0.799985
0.418879,0.802583
0.448799,0.805546
0.478719,0.808838
0.508639,0.812417
0.538559,0.816245
0.568479,0.82028
0.598399,0.824483
0.628319,0.828811
0.658238,0.833224
0.688158,0.83768
0.718078,0.842137
0.747998,0.846555
0.777918,0.850892
0.807838,0.855108
0.837758,0.859162
0.867678,0.863014
0.897598,0.866624
0.927518,0.869954
0.957438,0.872967
0.987358,0.875624
1.01728,0.877889
1.0472,0.879728
1.07712,0.881332
1.10704,0.883077
1.13696,0.88493
1.16688,0.886862
1.1968,0.888845
1.22672,0.890853
1.25664,0.892862
1.28656,0.89485
1.31648,0.896798
1.3464,0.898689
1.37632,0.900506
1.40624,0.902237
1.43616,0.903871
1.46608,0.905397
1.496,0.90681
1.52592,0.908105
1.55584,0.909278
1.58576,0.91033
1.61568,0.911262
1.6456,0.912077
1.67552,0.912783
1.70544,0.913386
1.73536,0.913898
1.76528,0.91433
1.7952,0.914697
1.82512,0.915017
1.85504,0.915308
1.88496,0.915592
1.91488,0.915891
1.9448,0.916231
1.97472,0.916641
2.00464,0.917149
2.03456,0.917788
2.06448,0.918592
2.0944,0.919598
2.12432,0.920431
2.15423,0.920937
2.18415,0.921146
2.21407,0.921092
2.24399,0.920806
2.27391,0.920324
2.30383,0.919681
2.33375,0.918911
2.36367,0.918053
2.39359,0.917143
2.42351,0.91622
2.45343,0.915323
2.48335,0.914493
2.51327,0.913769
2.54319,0.913194
2.57311,0.912808
2.60303,0.912655
2.63295,0.912777
2.66287,0.913217
2.69279,0.91402
2.72271,0.91523
2.75263,0.91689
2.78255,0.919047
2.81247,0.921744
2.84239,0.925026
2.87231,0.92894
2.90223,0.93353
2.93215,0.938842
2.96207,0.94492
2.99199,0.95181
3.02191,0.959556
3.05183,0.968204
3.08175,0.977798
3.11167,0.988382
3.14159,1
